sceneId,inputfile,labelfile
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\3543.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\3543.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\2323.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\2323.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\108.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\108.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\2763.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\2763.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\3986.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\3986.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\3362.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\3362.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\4549.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\4549.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\219.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\219.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\381.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\381.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\1145.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\1145.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\1696.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\1696.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\1664.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\1664.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\4022.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\4022.png
0000_00,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\2d-rendered-RGB\247.png,C:\Users\ji\Documents\ScanNet-master\data\scene0000_00\label\247.png
